488 63
28 40 49
5 9 20
10 51 38
34 58 71
19 59 57
15 43 28
6 53 85
33 53 63
11 60 69
10 32 76
2 46 27
16 19 13
46 60 64
16 62 14
30 35 73
21 58 66
22 28 92
45 49 28
38 44 83
31 46 50
21 40 92
39 55 5
34 43 31
8 26 99
13 36 18
2 24 76
8 52 75
39 61 94
13 34 15
11 30 51
15 55 73
10 14 12
4 17 75
44 53 20
54 58 56
25 55 94
17 60 21
17 32 37
20 61 20
16 45 35
12 21 67
27 54 12
58 61 75
7 23 2
20 55 1
11 52 27
6 28 42
38 60 27
1 14 17
9 22 89
35 53 67
14 51 60
17 61 55
51 58 15
31 36 93
40 45 88
21 34 14
22 35 36
13 46 86
10 35 44
25 50 56
4 42 70
8 22 53
1 35 53
9 52 63
1 34 35
30 31 50
48 62 13
39 40 47
42 48 32
14 33 19
24 31 75
12 32 66
4 59 43
34 60 78
39 56 81
14 22 16
5 36 69
15 30 45
3 34 35
21 54 56
13 40 12
19 24 90
23 30 27
14 37 71
18 20 29
47 57 51
12 26 68
5 23 18
21 47 33
21 51 67
42 45 72
48 53 94
20 49 20
13 47 72
28 34 63
45 57 10
10 13 2
0 30 73
19 62 18
12 36 43
16 49 55
57 58 2
2 22 51
49 60 86
40 60 16
14 36 33
47 59 84
6 33 78
8 62 55
20 28 31
21 59 74
42 59 75
24 53 17
25 30 46
56 60 34
16 57 68
29 41 41
42 55 47
49 51 73
42 61 29
24 40 1
26 53 50
25 36 79
19 29 50
9 29 88
58 59 31
52 62 73
22 53 42
15 61 61
33 43 80
6 30 80
18 25 17
33 34 24
33 35 86
41 46 72
34 37 49
2 49 70
20 41 54
17 50 8
18 27 22
33 44 49
48 49 44
10 28 20
36 45 54
4 31 59
50 55 29
0 31 14
19 58 95
38 54 6
10 15 83
31 35 28
7 36 42
23 46 33
40 50 14
27 40 8
4 52 75
43 56 46
0 40 14
8 34 10
23 25 69
8 47 70
21 49 61
28 53 44
35 39 34
2 40 22
19 44 29
10 58 82
9 54 11
11 38 12
17 51 99
0 24 36
44 56 90
19 23 70
19 34 20
38 41 50
28 29 77
37 52 75
20 36 6
2 16 22
8 30 52
7 27 36
37 45 33
23 29 28
19 48 63
18 55 43
14 31 60
4 9 79
18 19 19
40 41 2
48 58 74
38 46 73
3 47 94
18 50 57
17 28 91
22 32 21
40 57 54
4 24 26
11 37 58
3 12 74
8 33 32
6 41 75
32 59 67
1 47 69
21 55 7
2 51 41
5 42 24
14 46 18
19 25 54
4 34 8
45 55 97
22 49 96
8 15 97
2 44 48
6 9 33
53 62 6
11 36 29
7 24 70
4 51 59
9 41 36
54 62 70
22 36 19
7 28 38
40 54 43
15 20 81
3 16 25
35 54 91
27 57 8
31 53 61
5 27 35
34 51 18
0 59 3
37 53 38
38 53 85
53 59 23
33 50 68
28 43 95
26 28 97
8 41 99
34 39 68
27 46 39
30 51 54
12 47 50
22 52 85
31 51 26
11 42 88
13 62 64
8 9 96
27 41 95
4 58 36
23 43 1
10 42 67
12 19 46
21 56 47
35 56 16
42 57 11
2 8 61
41 58 72
38 42 4
0 52 5
2 35 15
12 44 92
21 62 75
25 27 63
3 50 43
19 27 67
14 55 24
34 48 11
16 61 88
7 17 29
1 49 54
